Invoice,customer_id,order_date,split,returned,order_value,log_order_value,n_lines,total_quantity,mean_unit_price,max_unit_price,price_vs_sku_mean,hour_of_day,day_of_week,is_uk,customer_prior_orders,customer_prior_returns,customer_prior_return_rate,customer_tenure_days,is_new_customer,basket_sku_return_rate,basket_max_sku_return_rate
SYN000011,2437.0,2009-12-02 18:51:00,train,1,620.16,6.431589,20,79.0,7.85,34.41,1.665,11,2,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000012,2912.0,2009-12-02 22:12:00,train,0,206.03,5.332864,18,326.0,0.63,0.73,0.1704,8,2,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000013,1694.0,2009-12-03 00:38:00,train,0,135.62,4.917203,14,251.0,0.54,2.13,0.1709,12,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000014,288.0,2009-12-03 05:03:00,train,0,201.66,5.31153,19,156.0,1.29,4.29,0.4374,9,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000015,609.0,2009-12-03 08:36:00,train,0,84.26,4.445705,21,1233.0,0.07,0.13,0.0177,12,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000016,1618.0,2009-12-03 11:23:00,train,0,197.9,5.292802,23,77.0,2.57,6.75,0.6243,10,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000017,1827.0,2009-12-03 15:02:00,train,0,265.35,5.584811,24,68.0,3.9,10.73,1.1719,11,3,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000018,2843.0,2009-12-03 17:04:00,train,0,111.81,4.725705,18,139.0,0.8,2.35,0.2004,14,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000019,1698.0,2009-12-03 20:49:00,train,0,78.25,4.372607,12,89.0,0.88,1.27,0.292,14,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000020,3494.0,2009-12-03 21:04:00,train,0,133.82,4.903941,12,109.0,1.23,5.1,0.3001,13,3,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000021,5532.0,2009-12-03 22:13:00,train,1,1618.91,7.390126,19,263.0,6.16,21.55,1.3537,11,3,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000022,5107.0,2009-12-04 05:11:00,train,0,120.3,4.798267,19,252.0,0.48,2.43,0.2806,9,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000023,3404.0,2009-12-04 05:22:00,train,0,205.14,5.328556,31,202.0,1.02,3.53,0.2762,10,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000024,4649.0,2009-12-04 18:30:00,train,1,694.45,6.544559,16,39.0,17.81,93.42,5.2423,10,4,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000025,3009.0,2009-12-04 18:47:00,train,0,1229.71,7.115347,20,80.0,15.37,53.74,4.0275,16,4,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000026,4981.0,2009-12-04 18:55:00,train,0,270.75,5.604883,17,29.0,9.34,21.03,2.1908,16,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000027,4282.0,2009-12-04 19:22:00,train,0,178.54,5.190398,29,621.0,0.29,1.67,0.0577,12,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000028,3572.0,2009-12-04 20:51:00,train,1,703.31,6.557219,20,47.0,14.96,65.3,4.7904,11,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000029,4342.0,2009-12-04 21:07:00,train,0,24.72,3.247269,25,202.0,0.12,0.46,0.028,8,4,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000030,3935.0,2009-12-04 23:31:00,train,0,188.94,5.246708,20,160.0,1.18,3.28,0.3347,14,4,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000031,4235.0,2009-12-05 03:12:00,train,0,163.57,5.103336,15,97.0,1.69,2.86,0.3542,13,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000032,3175.0,2009-12-05 05:57:00,train,0,239.41,5.482346,22,218.0,1.1,4.44,0.2815,16,5,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000033,5276.0,2009-12-05 08:21:00,train,0,206.26,5.333974,20,66.0,3.13,17.56,0.7292,16,5,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000034,3401.0,2009-12-05 09:32:00,train,0,93.94,4.553245,23,59.0,1.59,1.85,0.3787,11,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000035,3009.0,2009-12-05 10:50:00,train,0,1897.41,7.548772,22,355.0,5.34,29.34,0.9986,12,5,0,1,0,0.0,0.6688,0,0.0,0.0
SYN000036,3933.0,2009-12-05 11:02:00,train,0,116.8,4.768988,19,63.0,1.85,7.47,0.5801,12,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000037,1543.0,2009-12-05 11:17:00,train,0,168.52,5.132971,27,248.0,0.68,0.89,0.192,13,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000038,2200.0,2009-12-05 13:10:00,train,0,578.37,6.361941,16,99.0,5.84,29.45,1.3474,12,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000039,4701.0,2009-12-05 13:43:00,train,0,225.52,5.422833,21,207.0,1.09,5.8,0.2287,14,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000040,1722.0,2009-12-05 15:34:00,train,0,997.95,6.906705,18,132.0,7.56,40.1,2.0644,14,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000041,3350.0,2009-12-05 17:08:00,train,0,470.29,6.155474,22,212.0,2.22,5.64,0.5157,12,5,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000042,1167.0,2009-12-05 17:30:00,train,0,173.77,5.163471,21,203.0,0.86,2.26,0.2287,12,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000043,2809.0,2009-12-05 19:15:00,train,1,5178.98,8.552556,21,83.0,62.4,360.18,12.68,7,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000044,2517.0,2009-12-05 21:45:00,train,0,693.69,6.543466,11,119.0,5.83,12.86,0.9095,9,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000045,2517.0,2009-12-05 21:55:00,train,0,942.11,6.849183,17,247.0,3.81,20.43,1.1116,19,5,1,1,0,0.0,0.0069,0,0.0,0.0
SYN000046,556.0,2009-12-05 22:31:00,train,0,597.01,6.393607,31,182.0,3.28,13.65,0.8943,13,5,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000047,1292.0,2009-12-06 00:00:00,train,0,159.11,5.075861,22,201.0,0.79,2.47,0.1828,15,6,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000048,3989.0,2009-12-06 00:56:00,train,0,568.03,6.343933,16,74.0,7.68,33.38,2.6583,10,6,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000049,1229.0,2009-12-06 03:06:00,train,0,50.82,3.947776,21,254.0,0.2,1.15,0.0692,13,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000050,3487.0,2009-12-06 04:20:00,train,1,599.76,6.398196,30,222.0,2.7,10.2,0.846,19,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000051,3789.0,2009-12-06 05:22:00,train,0,624.18,6.43804,15,107.0,5.83,30.54,1.0499,13,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000052,5287.0,2009-12-06 05:58:00,train,0,253.5,5.539301,22,34.0,7.46,26.69,2.1394,8,6,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000053,4693.0,2009-12-06 07:30:00,train,1,357.37,5.881566,17,161.0,2.22,9.62,0.6457,15,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000054,5182.0,2009-12-06 08:15:00,train,0,1309.88,7.178454,28,326.0,4.02,5.72,0.8746,11,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000055,2450.0,2009-12-06 09:07:00,train,0,75.69,4.339771,17,338.0,0.22,1.13,0.0694,9,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000056,2690.0,2009-12-06 09:10:00,train,0,48.63,3.904595,16,40.0,1.22,4.6,0.4488,14,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000057,4115.0,2009-12-06 13:01:00,train,0,148.05,5.004282,16,28.0,5.29,21.01,1.0728,10,6,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000058,5682.0,2009-12-06 15:27:00,train,0,456.47,6.125711,22,280.0,1.63,6.55,0.5233,8,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000059,2874.0,2009-12-06 16:06:00,train,1,277.43,5.629167,18,367.0,0.76,2.49,0.2206,11,6,0,0,0,-1.0,0.0,1,0.0,0.0
SYN000060,860.0,2009-12-06 20:24:00,train,0,1098.95,7.00302,26,261.0,4.21,16.3,1.0473,14,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000061,1603.0,2009-12-06 21:16:00,train,1,294.62,5.689075,23,74.0,3.98,16.82,1.2359,16,6,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000062,1722.0,2009-12-07 01:01:00,train,0,709.72,6.566279,13,35.0,20.28,85.12,4.7666,8,0,1,1,0,0.0,1.3938,0,0.0,0.0
SYN000063,1280.0,2009-12-07 05:10:00,train,0,210.13,5.352474,21,110.0,1.91,10.42,0.5042,15,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000064,340.0,2009-12-07 05:59:00,train,1,519.88,6.25552,20,514.0,1.01,2.63,0.3456,11,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000065,3209.0,2009-12-07 10:51:00,train,0,941.62,6.848663,18,118.0,7.98,17.23,2.0582,10,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000066,389.0,2009-12-07 11:02:00,train,0,142.81,4.968493,26,536.0,0.27,0.81,0.0489,11,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000067,2216.0,2009-12-07 12:31:00,train,0,411.26,6.021654,23,51.0,8.06,19.28,1.8748,12,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000068,118.0,2009-12-07 14:54:00,train,1,518.91,6.253656,18,258.0,2.01,11.52,0.5524,15,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000069,2781.0,2009-12-07 16:00:00,train,0,727.16,6.590521,17,89.0,8.17,17.26,1.6918,14,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000070,3130.0,2009-12-07 16:13:00,train,0,112.45,4.731362,20,334.0,0.34,1.05,0.0638,12,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000071,1698.0,2009-12-07 18:54:00,train,0,287.38,5.664279,20,217.0,1.32,7.11,0.3573,12,0,1,1,0,0.0,3.9201,0,0.0,0.0
SYN000072,3053.0,2009-12-07 20:23:00,train,0,467.32,6.149152,18,111.0,4.21,18.3,0.9897,12,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000073,4492.0,2009-12-07 21:52:00,train,0,402.28,5.999631,26,442.0,0.91,4.36,0.228,15,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000074,5697.0,2009-12-07 22:20:00,train,0,297.32,5.698167,12,181.0,1.64,8.44,0.4027,7,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000075,4330.0,2009-12-07 22:20:00,train,0,113.0,4.736198,25,229.0,0.49,2.33,0.1414,9,0,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000076,5697.0,2009-12-08 00:47:00,train,0,66.29,4.209012,22,188.0,0.35,1.97,0.0884,16,1,1,1,0,0.0,0.1021,0,0.0,0.0
SYN000077,310.0,2009-12-08 12:37:00,train,0,426.95,6.059006,18,79.0,5.4,8.01,1.7381,10,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000078,2868.0,2009-12-08 13:21:00,train,0,53.51,3.998384,16,56.0,0.96,5.44,0.2086,14,1,1,0,0,-1.0,0.0,1,0.0,0.0
SYN000079,5192.0,2009-12-08 16:27:00,train,0,77.35,4.361186,19,96.0,0.81,1.29,0.3099,10,1,1,1,0,0.0,6.3167,0,0.027188,0.07173
SYN000080,3956.0,2009-12-08 16:35:00,train,0,442.22,6.094066,30,92.0,4.81,7.18,1.0681,17,1,1,1,0,0.0,7.509,0,0.026115,0.071429
SYN000081,3967.0,2009-12-08 17:33:00,train,0,116.46,4.766098,15,127.0,0.92,3.12,0.2868,9,1,1,0,0,-1.0,0.0,1,0.024307,0.024691
SYN000082,3831.0,2009-12-08 18:45:00,train,1,348.0,5.855072,25,361.0,0.96,4.73,0.1978,17,1,1,0,0,-1.0,0.0,1,0.023981,0.02439
SYN000083,4489.0,2009-12-08 19:20:00,train,0,25.42,3.274121,13,49.0,0.52,1.77,0.1476,14,1,1,0,0,-1.0,0.0,1,0.023663,0.024096
SYN000084,1589.0,2009-12-08 21:28:00,train,0,328.08,5.796301,25,211.0,1.55,5.21,0.2423,12,1,1,0,0,-1.0,0.0,1,0.023537,0.02381
SYN000085,153.0,2009-12-09 00:22:00,train,0,429.91,6.065899,21,117.0,3.67,6.74,1.149,11,2,1,0,0,-1.0,0.0,1,0.022952,0.023529
SYN000086,1027.0,2009-12-09 00:31:00,train,1,122.86,4.819152,23,153.0,0.8,1.8,0.1539,14,2,1,0,0,-1.0,0.0,1,0.023019,0.023256
SYN000087,1636.0,2009-12-09 01:10:00,train,0,204.7,5.326419,25,165.0,1.24,2.84,0.2531,12,2,1,0,0,-1.0,0.0,1,0.024543,0.069513
SYN000088,1542.0,2009-12-09 01:15:00,train,0,100.2,4.617099,13,146.0,0.69,1.9,0.0987,15,2,1,0,0,-1.0,0.0,1,0.022394,0.022727
SYN000089,1339.0,2009-12-09 02:46:00,train,0,178.57,5.190565,20,33.0,5.41,6.59,1.7185,15,2,1,0,0,-1.0,0.0,1,0.021737,0.022472
SYN000090,1636.0,2009-12-09 05:07:00,train,0,196.39,5.285181,30,309.0,0.64,3.5,0.1109,19,2,1,1,0,0.0,0.1646,0,0.021626,0.022222
SYN000091,2556.0,2009-12-09 07:51:00,train,0,99.54,4.610556,20,71.0,1.4,4.01,0.4048,16,2,1,0,0,-1.0,0.0,1,0.021621,0.021978
SYN000092,4264.0,2009-12-09 08:45:00,train,0,147.8,5.002603,24,118.0,1.25,3.24,0.253,11,2,0,0,0,-1.0,0.0,1,0.021115,0.021739
SYN000093,4042.0,2009-12-09 08:59:00,train,0,131.33,4.885299,14,37.0,3.55,10.22,1.1915,12,2,1,0,0,-1.0,0.0,1,0.021359,0.021505
SYN000094,3606.0,2009-12-09 10:06:00,train,0,1254.61,7.135377,17,99.0,12.67,71.5,2.2519,11,2,1,0,0,-1.0,0.0,1,0.034269,0.078014
SYN000095,2912.0,2009-12-09 10:32:00,train,0,341.03,5.834898,15,366.0,0.93,1.41,0.2299,8,2,0,1,0,0.0,6.5139,0,0.031178,0.031579
SYN000096,766.0,2009-12-09 12:24:00,train,0,104.24,4.656243,20,75.0,1.39,6.28,0.53,12,2,1,0,0,-1.0,0.0,1,0.030662,0.03125
SYN000097,3505.0,2009-12-09 12:52:00,train,1,929.0,6.835185,17,45.0,20.64,36.99,7.1835,17,2,1,0,0,-1.0,0.0,1,0.030416,0.030928
SYN000098,2443.0,2009-12-09 13:12:00,train,1,980.22,6.888797,24,262.0,3.74,10.19,0.9068,12,2,0,0,0,-1.0,0.0,1,0.030314,0.030612
SYN000099,153.0,2009-12-09 13:27:00,train,0,595.35,6.390828,15,154.0,3.87,18.94,1.0551,9,2,1,1,0,0.0,0.5451,0,0.029647,0.030303
SYN000100,3401.0,2009-12-09 14:53:00,train,0,76.83,4.354527,23,293.0,0.26,1.19,0.0738,12,2,1,1,0,0.0,4.2229,0,0.033499,0.07619
SYN000101,2211.0,2009-12-09 15:45:00,train,0,150.94,5.023486,27,329.0,0.46,1.94,0.1197,10,2,1,0,0,-1.0,0.0,1,0.030308,0.069307
SYN000102,310.0,2009-12-09 15:47:00,train,1,737.0,6.603944,19,192.0,3.84,7.86,0.8939,12,2,1,1,0,0.0,1.1319,0,0.031228,0.072193
SYN000103,2746.0,2009-12-09 16:01:00,train,0,152.43,5.033244,22,230.0,0.66,1.39,0.2396,17,2,1,0,0,-1.0,0.0,1,0.030672,0.075358
SYN000104,3384.0,2009-12-09 16:30:00,train,0,328.48,5.797516,19,73.0,4.5,11.38,1.36,18,2,1,0,0,-1.0,0.0,1,0.030601,0.071678
SYN000105,3053.0,2009-12-09 16:42:00,train,0,164.31,5.107822,18,51.0,3.22,13.29,1.3678,11,2,1,1,0,0.0,1.8465,0,0.03077,0.07483
SYN000106,3989.0,2009-12-09 17:01:00,train,0,1800.62,7.496442,19,78.0,23.08,52.09,6.5936,13,2,0,1,0,0.0,3.6701,0,0.027818,0.028302
SYN000107,5489.0,2009-12-09 17:30:00,train,0,243.65,5.499829,11,27.0,9.02,21.45,2.1755,13,2,1,0,0,-1.0,0.0,1,0.027088,0.028037
SYN000108,4349.0,2009-12-09 17:48:00,train,0,204.3,5.324472,18,79.0,2.59,4.57,0.6242,9,2,1,0,0,-1.0,0.0,1,0.027484,0.027778
SYN000109,5050.0,2009-12-09 17:51:00,train,0,246.64,5.511976,14,60.0,4.11,10.86,1.0037,10,2,1,0,0,-1.0,0.0,1,0.027251,0.027523
SYN000110,4277.0,2009-12-09 19:15:00,train,0,150.79,5.022498,20,615.0,0.25,0.74,0.0306,11,2,1,0,0,-1.0,0.0,1,0.026824,0.027273
SYN000111,712.0,2009-12-09 21:40:00,train,0,598.66,6.396363,21,318.0,1.88,7.04,0.3449,12,2,1,0,0,-1.0,0.0,1,0.026604,0.027027
SYN000112,4035.0,2009-12-09 21:48:00,train,0,212.64,5.364292,18,96.0,2.22,12.32,0.6438,12,2,1,0,0,-1.0,0.0,1,0.025754,0.026786
SYN000113,856.0,2009-12-09 21:51:00,train,0,289.4,5.671259,19,521.0,0.56,1.86,0.1266,14,2,1,0,0,-1.0,0.0,1,0.026089,0.026549
SYN000114,3225.0,2009-12-09 22:07:00,train,0,210.0,5.351858,13,66.0,3.18,6.31,0.9458,17,2,0,1,0,0.0,7.4576,0,0.025834,0.026316
SYN000115,1569.0,2009-12-09 22:10:00,train,0,133.04,4.898138,22,87.0,1.53,2.47,0.3139,15,2,1,0,0,-1.0,0.0,1,0.025471,0.026087
SYN000116,1696.0,2009-12-10 00:15:00,train,0,118.93,4.786908,21,594.0,0.2,0.63,0.0656,11,3,0,0,0,-1.0,0.0,1,0.025164,0.025862
SYN000117,5197.0,2009-12-10 01:11:00,train,1,358.8,5.885548,19,516.0,0.7,3.11,0.2646,12,3,1,0,0,-1.0,0.0,1,0.0247,0.025641
SYN000118,4277.0,2009-12-10 04:17:00,train,0,423.7,6.051383,15,234.0,1.81,8.83,0.4805,13,3,1,1,0,0.0,0.3764,0,0.024712,0.025424
SYN000119,4277.0,2009-12-10 05:28:00,train,1,399.6,5.992963,15,162.0,2.47,7.59,1.0916,12,3,1,2,0,0.0,0.4257,0,0.024365,0.02521
SYN000120,4524.0,2009-12-10 05:48:00,train,0,453.23,6.118604,27,355.0,1.28,2.13,0.5141,12,3,1,0,0,-1.0,0.0,1,0.024395,0.025
SYN000121,1628.0,2009-12-10 07:24:00,train,1,513.52,6.243234,19,151.0,3.4,4.29,0.5876,14,3,1,0,0,-1.0,0.0,1,0.037242,0.079103
SYN000122,3872.0,2009-12-10 07:59:00,train,1,225.92,5.424598,26,511.0,0.44,1.65,0.0819,9,3,1,0,0,-1.0,0.0,1,0.031813,0.032787
SYN000123,1624.0,2009-12-10 08:42:00,train,0,66.28,4.208863,22,708.0,0.09,0.25,0.0191,15,3,1,0,0,-1.0,0.0,1,0.032034,0.03252
SYN000124,5659.0,2009-12-10 18:37:00,train,0,700.72,6.553534,11,211.0,3.32,18.61,1.911,7,3,1,0,0,-1.0,0.0,1,0.031712,0.032258
SYN000125,4554.0,2009-12-10 21:23:00,train,0,469.35,6.153477,14,229.0,2.05,3.38,0.4961,16,3,1,0,0,-1.0,0.0,1,0.03105,0.032
SYN000126,1628.0,2009-12-11 00:42:00,train,0,601.31,6.400772,17,40.0,15.03,44.46,2.9665,7,4,1,1,0,0.0,0.7208,0,0.031155,0.031746
SYN000127,3565.0,2009-12-11 05:17:00,train,0,267.42,5.592553,13,176.0,1.52,7.91,0.4497,12,4,1,0,0,-1.0,0.0,1,0.030479,0.031496
SYN000128,3977.0,2009-12-11 06:37:00,train,0,392.32,5.974624,21,95.0,4.13,16.87,1.5063,13,4,1,0,0,-1.0,0.0,1,0.03069,0.03125
SYN000129,1378.0,2009-12-11 07:00:00,train,1,925.29,6.831187,27,71.0,13.03,70.88,1.6983,8,4,1,0,0,-1.0,0.0,1,0.031771,0.07715
SYN000130,4563.0,2009-12-11 07:51:00,train,0,384.62,5.954852,16,95.0,4.05,5.35,0.6541,11,4,1,0,0,-1.0,0.0,1,0.033069,0.073427
SYN000131,4369.0,2009-12-11 09:42:00,train,0,140.75,4.954065,23,84.0,1.68,7.44,0.5381,15,4,0,0,0,-1.0,0.0,1,0.029545,0.030534
SYN000132,1202.0,2009-12-11 13:54:00,train,0,504.66,6.225865,19,230.0,2.19,9.19,0.6398,14,4,1,0,0,-1.0,0.0,1,0.029487,0.030303
SYN000133,3877.0,2009-12-11 14:02:00,train,0,596.28,6.392386,22,516.0,1.16,6.68,0.2953,16,4,1,1,0,0.0,8.8556,0,0.030606,0.069631
SYN000134,2843.0,2009-12-11 15:06:00,train,1,372.59,5.923159,16,76.0,4.9,18.33,1.0382,15,4,1,1,0,0.0,7.9181,0,0.029318,0.029851
SYN000135,2012.0,2009-12-11 19:42:00,train,1,220.01,5.398208,22,186.0,1.18,4.88,0.4092,14,4,1,0,0,-1.0,0.0,1,0.029058,0.02963
SYN000136,2409.0,2009-12-12 00:11:00,train,0,335.98,5.820024,16,39.0,8.61,43.13,1.8411,12,5,1,0,0,-1.0,0.0,1,0.028544,0.029412
SYN000137,3226.0,2009-12-12 03:17:00,train,0,282.17,5.646047,17,239.0,1.18,4.69,0.3984,12,5,1,0,0,-1.0,0.0,1,0.03551,0.036496
SYN000138,156.0,2009-12-12 05:22:00,train,0,90.46,4.515902,25,550.0,0.16,0.43,0.0438,16,5,1,0,0,-1.0,0.0,1,0.035491,0.036232
SYN000139,2303.0,2009-12-12 05:42:00,train,0,54.27,4.01223,25,123.0,0.44,0.53,0.1133,14,5,1,0,0,-1.0,0.0,1,0.043859,0.088729
SYN000140,5733.0,2009-12-12 06:08:00,train,0,128.7,4.865224,16,135.0,0.95,2.97,0.1401,9,5,1,0,0,-1.0,0.0,1,0.044457,0.084416
SYN000141,3989.0,2009-12-12 07:00:00,train,0,291.25,5.67761,17,71.0,4.1,24.31,0.7327,15,5,0,2,0,0.0,6.2528,0,0.041372,0.042553
SYN000142,3935.0,2009-12-12 12:06:00,train,0,325.06,5.787081,16,72.0,4.51,12.19,1.1658,17,5,1,1,0,0.0,7.5243,0,0.05043,0.094567
SYN000143,4317.0,2009-12-12 16:57:00,train,0,186.62,5.234419,22,190.0,0.98,1.5,0.2393,10,5,1,0,0,-1.0,0.0,1,0.050092,0.089955
SYN000144,3049.0,2009-12-13 03:36:00,train,0,517.44,6.250824,20,85.0,6.09,22.49,1.0457,14,6,1,0,0,-1.0,0.0,1,0.050182,0.093915
SYN000145,1394.0,2009-12-13 04:03:00,train,0,230.54,5.444753,17,159.0,1.45,4.01,0.3734,9,6,1,0,0,-1.0,0.0,1,0.046702,0.048276
SYN000146,4154.0,2009-12-13 06:43:00,train,0,70.65,4.271793,17,169.0,0.42,0.94,0.0812,16,6,0,0,0,-1.0,0.0,1,0.046883,0.047945
SYN000147,583.0,2009-12-13 08:37:00,train,0,1103.78,7.007401,19,104.0,10.61,15.99,3.5882,14,6,1,0,0,-1.0,0.0,1,0.046545,0.047619
SYN000148,3257.0,2009-12-13 09:47:00,train,0,1017.92,6.926499,21,474.0,2.15,4.7,0.6737,16,6,1,0,0,-1.0,0.0,1,0.047781,0.092664
SYN000149,2577.0,2009-12-13 10:01:00,train,1,203.66,5.32135,17,170.0,1.2,4.12,0.3168,11,6,1,0,0,-1.0,0.0,1,0.045579,0.04698
SYN000150,2397.0,2009-12-13 11:38:00,train,0,114.88,4.752555,23,294.0,0.39,1.98,0.1118,9,6,1,0,0,-1.0,0.0,1,0.045244,0.046667
SYN000151,114.0,2009-12-13 17:02:00,train,0,1315.08,7.182413,13,906.0,1.45,4.92,0.4665,11,6,1,0,0,-1.0,0.0,1,0.045678,0.046358
SYN000152,4789.0,2009-12-13 18:22:00,train,0,233.38,5.456944,25,442.0,0.53,1.53,0.1244,12,6,1,0,0,-1.0,0.0,1,0.045351,0.046053
SYN000153,819.0,2009-12-13 19:16:00,train,0,99.2,4.607168,17,482.0,0.21,0.52,0.0642,11,6,1,0,0,-1.0,0.0,1,0.04447,0.045752
SYN000154,2007.0,2009-12-13 20:55:00,train,0,149.71,5.015357,18,86.0,1.74,8.54,0.4159,12,6,1,0,0,-1.0,0.0,1,0.046821,0.086777
SYN000155,5302.0,2009-12-13 22:16:00,train,0,654.14,6.484849,17,37.0,17.68,43.62,3.5652,14,6,1,0,0,-1.0,0.0,1,0.043465,0.045161
SYN000156,5418.0,2009-12-13 22:23:00,train,0,87.47,4.482664,18,51.0,1.72,3.74,0.4959,20,6,1,0,0,-1.0,0.0,1,0.046113,0.086247
SYN000157,4604.0,2009-12-14 00:02:00,train,0,249.94,5.525214,22,270.0,0.93,4.27,0.2303,9,0,1,0,0,-1.0,0.0,1,0.04363,0.044586
SYN000158,1689.0,2009-12-14 00:07:00,train,0,416.63,6.034596,11,71.0,5.87,34.1,1.4585,13,0,1,0,0,-1.0,0.0,1,0.047116,0.089813
